text,translation
(completing the octave),（完成八度音阶）
(considered the primary),（被视为主要者）
(holding another's goods),（持有他人财物）
(location no longer in zone),（地点已不在区域内）
(militant worshippers)[R],（好战信徒）[R]
(no climbing/jumping),（不可攀爬/跳跃）
(no reachable point on route),（路线上无可到达点）
(no reachable valid target),（无可到达的有效目标）
(not following order),（未遵从命令）
(religious worshippers)[R],（虔诚信徒）[R]
(unreachable location),（不可到达的地点）
(wipes any character data!),（将清除所有角色数据！）
) but it didn't exist for,）但它对以下对象不存在：
) but it didn't exist.,）但它并不存在。
") playing, so stopping it.",）正在播放，因此停止它。
'always play' layer to start the song.,开始演奏的“always play”层。
'loop' layer to play.,用于演奏的“loop”层。
'loop' layer to stop.,用于停止的“loop”层。
'package.%s' must be a string,“package.%s”必须是字符串
'package.searchers' must be a table,“package.searchers”必须是表
's cessation of tribute to,停止进贡予
's demand for tribute,索要贡品
's lack of possession of,未持有
's relationship with,与……的关系
"'s trying to remember something,",似乎在回忆着什么，
'stinger' layer to bridge to the next group of the combat song.,用于过渡到战斗曲下一组的“stinger”层。
(Adventure) Cackling fades,（冒险模式）咯咯笑声渐息
(Adventure) Made item,（冒险模式）制作了物品
(Adventure) Night Creature Attack,（冒险模式）夜行生物袭击
(Adventure) Sleep interrupted,（冒险模式）睡眠被打断
") was not in recently modified layers, so it is safe to",) 不在最近修改的图层中，因此可以安全地
"), not altering panning or volume.",)，不改变平移或音量。
).  Using the first encountered:,)。使用首次遇到的：
* Place archery targets for better training,* 放置箭靶以提升训练效果
* Requires wild colony or,* 需要野生蜂巢或
* Saves colony for split,* 保存蜂巢以便分割
* Will also target enemies,* 也会攻击敌人
** Loading Adventurer **,** 正在加载冒险者 **
** Starting Adventure **,** 正在开始冒险 **
*** Error(s) finalizing the creature,*** 完成生物时出现错误
*** Error(s) finalizing the entity,*** 完成实体时出现错误
*** Error(s) finalizing the interaction,*** 完成互动时出现错误
*** Error(s) finalizing the material template,*** 完成材料模板时出现错误
*** Error(s) finalizing the music,*** 完成音乐时出现错误
*** Error(s) finalizing the reaction,*** 完成反应时出现错误
(Any unretired characters in your party will be unaffected.),（你队伍中任何尚未退役的角色将不受影响。）
(Charge) (A) Bounced back,（冲锋）(A) 被弹回
(Charge) (D) Knocked over,（冲锋）(D) 被撞倒
(Charge) Tangle/tumble,（冲锋）缠斗/翻滚
(Combat) Gain/lose possession of item,（战斗）获得/失去物品持有权
(De)select all currently-displayed creatures.,（反选）所有当前显示的生物。
(Select an item to demand),（选择一件物品进行索取）
(Strange mood) Building claimed,（奇特情绪）认领建筑
(Wrestling) Break grip,（摔跤）挣脱抓握
(Wrestling) Cannot break grip,（摔跤）无法挣脱抓握
(activity cancelled),（活动已取消）
"(and some other things like [C:6:0:1]Sand[C:7:0:0]).  [C:6:0:1]Bins[C:7:0:0] hold just about everything else except [C:6:0:1]Furniture[C:7:0:0], [C:6:0:1]Wood[C:7:0:0] and [C:6:0:1]Boulders[C:7:0:0].",（以及其他一些东西，比如[C:6:0:1]沙子[C:7:0:0]）。[C:6:0:1]箱子[C:7:0:0]可以装几乎其他所有东西，除了[C:6:0:1]家具[C:7:0:0]、[C:6:0:1]木材[C:7:0:0]和[C:6:0:1]巨石[C:7:0:0]。
(associated civilization)[R],（所属文明）[R]
(cannot follow order),（无法执行命令）
(cannot individually drill),（无法单独操练）
"""You are close.  Follow your senses to the entrance.",“你已经很近了。跟着感觉找到入口吧。
"""You may return the object to the faithful by gifting it to one of the priests, or you may simply drop it in this structure wherever you see fit.""",“你可以将这件物品赠予一位祭司，交还给信徒们，或者直接把它放在这座建筑里任何合适的地方。”
"""You will have to leave this structure first before you can travel.  Try to make your way out to the settlement.""",“你必须先离开这座建筑才能启程。试着走出去，前往定居点吧。”
"""You will not stand between me and",“你休想挡在我和
