text,translation
12th Limestone,石灰岩月12日
"12th Limestone, early autumn, 100",石灰岩月12日，初秋，第100年
13th Limestone,石灰岩月13日
1st Limestone,石灰岩月1日
"1st Limestone, early autumn, 100",石灰岩月1日，初秋，第100年
1st Sandstone,砂岩月1日
"1st Sandstone, midautumn, 100",砂岩月1日，中秋，第100年
3rd Limestone,石灰岩月3日
"3rd Limestone, early autumn, 100",石灰岩月3日，初秋，第100年
Anenu Anetha,阿内努·阿内塔
autosave 1,自动存档 1
Bomrek,博姆雷克
Civilizations/World,文明/世界
Delete,删除
early autumn,初秋
Early Autumn,初秋
Elevation 40,海拔40
Elevation 41,海拔41
Elevation 42,海拔42
èrithgongith,埃里特贡吉特
Files,文件
Goden,戈登
Histories of Cupidity and Exertion,贪婪与勤奋史
Histories of Gluttony and Enterprise,暴食与进取史
Histories of Jealousy and Enterprise,嫉妒与进取史
Histories of Jealousy and Mettle,嫉妒与气力史
Laboredsquids,苦鱿
midautumn,中秋
Mid-Autumn,中秋
Nitom Kodor,尼托姆·科多
Oilywhisker,油须
ònulkol,奥农科尔
region2,区域2
region5,区域5
Sodelromek,索德尔罗梅克
This is a copper battle axe.,这是一把铜战斧。
This is a copper spear.,这是一支铜矛。
Three saves,三个存档
Two saves,两个存档
Uzolrikkir,乌佐尔里基尔
Vanilla Bodies,原版身体
Vanilla Buildings,原版建筑
Vanilla Creatures,原版生物
Vanilla Descriptors,原版描述
Vanilla Entities,原版文明
Vanilla Environment,原版环境
Vanilla Interface,原版界面
Vanilla Items,原版物品
Vanilla Languages,原版语言
Vanilla Materials,原版材料
Vanilla Music,原版音乐
Vanilla Plants,原版植物
Vanilla Procedural Objects,原版程序生成物
Vanilla Reactions,原版反应
Vanilla Text,原版文本
Vanilla World Map,原版世界地图
World:,世界：
World name,世界名
Year 100,第100年
"""Laboredsquids""","""苦鱿"""
"""Oilywhisker""","""油须"""
"""The Planet of Oracles""","""神谕之星"""
"""The Planets of Dawn""","""黎明群星"""
"Anenu Anetha, ""The Planet of Oracles""","阿内努·阿内塔，""神谕之星"""
"èrithgongith, ""Laboredsquids""","埃里特贡吉特，""苦鱿"""
"Nitom Kodor, ""The Planets of Dawn""","尼托姆·科多，""黎明群星"""
"Uzolrikkir, ""Oilywhisker""","乌佐尔里基尔，""油须"""
